list-none-m,1,1000,1,3000,5098005,1699,39
list-none-s,1,1000,1,3000,5074674,1691,37
list-none-m,2,1000,1,6000,28530504,4755,4776
list-none-s,2,1000,1,6000,17000327,2833,2133
list-none-m,4,1000,1,12000,111483058,9290,26625
list-none-s,4,1000,1,12000,62599418,5216,11078
list-none-m,8,1000,1,24000,470649858,19610,124153
list-none-s,8,1000,1,24000,178093656,7420,29997
list-none-m,12,1000,1,36000,1173106823,32586,319005
list-none-s,12,1000,1,36000,846243082,23506,192116
list-none-m,16,1000,1,48000,1989404301,41445,505389
list-none-s,16,1000,1,48000,1206191767,25128,275895
list-none-m,24,1000,1,72000,4377234281,60794,1100967
list-none-s,24,1000,1,72000,6794009636,94361,1881966
list-id-none,1,1,4,3,109458,36486,0
list-id-none,4,1,4,12,149893,12491,0
list-id-none,8,1,4,24,298813,12450,0
list-id-none,12,1,4,36,367996,10222,0
list-id-none,16,1,4,48,635441,13238,0
list-id-none,1,2,4,6,94843,15807,0
list-id-none,4,2,4,24,166582,6940,0
list-id-none,8,2,4,48,305469,6363,0
list-id-none,12,2,4,72,412566,5730,0
list-id-none,16,2,4,96,482841,5029,0
list-id-none,1,4,4,12,109780,9148,0
list-id-none,4,4,4,48,135928,2831,0
list-id-none,12,4,4,144,400431,2780,0
list-id-none,16,4,4,192,526688,2743,0
list-id-none,1,8,4,24,116370,4848,0
list-id-none,1,16,4,48,128284,2672,0
list-id-m,1,10,4,30,96006,3200,88
list-id-s,1,10,4,30,92628,3087,56
list-id-m,4,10,4,120,240943,2007,1500
list-id-s,4,10,4,120,180508,1504,230
list-id-m,8,10,4,240,428890,1787,2531
list-id-s,8,10,4,240,373277,1555,177
list-id-m,12,10,4,360,623369,1731,4760
list-id-s,12,10,4,360,467308,1298,158
list-id-m,16,10,4,480,745671,1553,4435
list-id-s,16,10,4,480,574828,1197,171
list-id-m,1,20,4,60,133706,2228,71
list-id-s,1,20,4,60,140700,2345,48
list-id-m,4,20,4,240,506412,2110,1277
list-id-s,4,20,4,240,214522,893,291
list-id-m,8,20,4,480,701319,1461,4287
list-id-s,8,20,4,480,404661,843,1283
list-id-m,12,20,4,720,987430,1371,6413
list-id-s,12,20,4,720,568108,789,983
list-id-m,16,20,4,960,1431159,1490,11025
list-id-s,16,20,4,960,750443,781,1203
list-id-m,1,40,4,120,184111,1534,52
list-id-s,1,40,4,120,185136,1542,44
list-id-m,4,40,4,480,602404,1255,1678
list-id-s,4,40,4,480,391539,815,813
list-id-m,8,40,4,960,1217951,1268,4680
list-id-s,8,40,4,960,834294,869,2779
list-id-m,12,40,4,1440,1851284,1285,8507
list-id-s,12,40,4,1440,4831790,3355,27491
list-id-m,16,40,4,1920,2539341,1322,12588
list-id-s,16,40,4,1920,6927610,3608,43821
list-id-m,1,80,4,240,260980,1087,46
list-id-s,1,80,4,240,238843,995,40
list-id-m,4,80,4,960,1225723,1276,1861
list-id-s,4,80,4,960,854670,890,1093
list-id-m,8,80,4,1920,2764504,1439,6469
list-id-s,8,80,4,1920,2011776,1047,4374
list-id-m,12,80,4,2880,4129028,1433,11331
list-id-s,12,80,4,2880,3220637,1118,8352
list-id-m,16,80,4,3840,7777934,2025,21776
list-id-s,16,80,4,3840,5980037,1557,17269
list-none-m,1,1000,1,3000,7958750,2652,46
list-none-s,1,1000,1,3000,5463334,1821,35
list-none-m,2,1000,1,6000,29321403,4886,4913
list-none-s,2,1000,1,6000,22266700,3711,3393
list-none-m,4,1000,1,12000,121098103,10091,28245
list-none-s,4,1000,1,12000,50029659,4169,9229
list-none-m,8,1000,1,24000,531744667,22156,138567
list-none-s,8,1000,1,24000,493067091,20544,114567
list-none-m,12,1000,1,36000,1079721279,29992,264608
list-none-s,12,1000,1,36000,825906153,22941,188757
list-none-m,1,1000,4,3000,1595363,531,42
list-none-s,1,1000,4,3000,1567361,522,36
list-none-m,2,1000,4,6000,6503435,1083,632
list-none-s,2,1000,4,6000,4744940,790,248
list-none-m,4,1000,4,12000,17952597,1496,2751
list-none-s,4,1000,4,12000,14699134,1224,1923
list-none-m,8,1000,4,24000,64094765,2670,14023
list-none-s,8,1000,4,24000,51384775,2141,10810
list-none-m,12,1000,4,36000,143621229,3989,36164
list-none-s,12,1000,4,36000,120943330,3359,29312
list-none-m,1,1000,8,3000,972306,324,40
list-none-s,1,1000,8,3000,980711,326,38
list-none-m,2,1000,8,6000,5090546,848,390
list-none-s,2,1000,8,6000,4915030,819,250
list-none-m,4,1000,8,12000,11884842,990,1388
list-none-s,4,1000,8,12000,7546668,628,526
list-none-m,8,1000,8,24000,32274066,1344,5667
list-none-s,8,1000,8,24000,25779050,1074,3819
list-none-m,12,1000,8,36000,69314220,1925,15317
list-none-s,12,1000,8,36000,52885637,1469,9970
list-none-m,1,1000,16,3000,1051419,350,51
list-none-s,1,1000,16,3000,704718,234,36
list-none-m,2,1000,16,6000,2347696,391,158
list-none-s,2,1000,16,6000,1876130,312,74
list-none-m,4,1000,16,12000,5356388,446,467
list-none-s,4,1000,16,12000,3918759,326,219
list-none-m,8,1000,16,24000,16841083,701,2440
list-none-s,8,1000,16,24000,11368615,473,1099
list-none-m,12,1000,16,36000,29247479,812,4952
list-none-s,12,1000,16,36000,19650816,545,2302
